In_Type,Com_Tr_Num,Date_Com,Date_Com_Re,Date_Complete,Com_Class,In_Status,Disp,B_Com,Div_Com,Un_Com,Detail,WorkSta,ShiftCom,Rule,Par,UnOff_ID,Off_R_Eth,Off_Gen,Off_Age,Off_Year,Com_Gen,Com_Eth,Com_Age
Public Initiated,2022-0429-R,2022/9/21,2022/10/12,2023/1/7,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Reserves,Reserves,U,Unknown Working Status,Unknown Shift Hours,RULE 6: OFFICIAL INFO,PARAGRAPH 01 - SECURITY OF RECORDS,48906,Black,M,44,U,U,U,U
Public Initiated,2022-0389-P,2022/8/24,2022/9/16,2023/1/9,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Night Watch,Night Watch,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,48910,White,M,44,U,M,U,U
Public Initiated,2022-0152-N,2022/3/29,2022/3/29,2022/4/19,NFIM,Completed,NFIM,FOB - Field Operations Bureau,Command Staff,3rd District,Staff,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,48920,Black,F,44,U,F,U,U
Rank Initiated,2022-0045-R,2022/1/30,2022/1/30,2023/1/9,DI-1,Completed,Sustained,FOB - Field Operations Bureau,3rd District,Second Watch,Second Watch,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,48979,Black,M,44,U,U,U,U
Public Initiated,2022-0024-P,2021/9/10,2022/1/18,2022/3/22,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,DIU Persons,DIU Persons DIU,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,48982,Black,F,44,U,F,B,U
Rank Initiated,2021-0722-R,2021/10/23,2021/12/23,2022/2/21,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,6th District,Staff,Staff Other,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,48983,Black,F,44,U,U,U,U
Rank Initiated,2021-0629-R,2021/11/6,2021/11/8,2022/4/6,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,48987,White,M,44,U,U,U,U
Public Initiated,2021-0616-P,2021/10/31,2021/11/5,2022/2/4,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,B Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49009,White,M,44,U,U,U,U
Rank Initiated,2021-0510-R,2021/6/23,2021/9/14,2022/2/22,DI-1,Completed,Unfounded,MSB - Management Service Bureau,Education/Training & Recruitment Division,Training Section,Staff,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,49016,Black,M,44,U,U,U,U
Rank Initiated,2021-0332-R,2021/5/28,2021/6/13,2023/7/20,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Unknown Working Status,Unknown Shift Hours,U,U,49020,Asian/Pacific Islander,M,44,U,U,U,U
Rank Initiated,2021-0336-R,2021/6/2,2021/6/3,2023/7/14,DI-1,Completed,Other,FOB - Field Operations Bureau,8th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49035,White,M,44,U,U,U,U
Rank Initiated,2021-0265-R,2021/4/26,2021/4/26,2021/7/7,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,B Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,49037,White,M,44,U,U,U,U
Rank Initiated,2021-0229-R,2021/4/15,2021/4/9,2023/1/22,DI-1,Completed,Sustained,PIB - Public Integrity Bureau,Force Investigation Team,Force Investigation Team,B,,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49039,Black,M,44,U,U,U,U
Rank Initiated,2021-0252-R,2021/4/20,2021/4/27,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,1st District,2nd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49054,White,F,44,U,U,U,U
Public Initiated,2020-0291-P,2020/6/3,2020/6/18,2020/10/20,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Admin Unit,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,49070,White,M,44,U,M,W,U
Public Initiated,2020-0290-P,2020/6/3,2020/6/18,2020/10/15,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,SOD,VOWS/Extradition,VOWS/Extradition,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,49074,White,M,44,U,M,W,U
Public Initiated,2020-0288-P,2020/6/3,2020/6/18,2020/10/15,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,SOD,Admin,Admin,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,49082,White,M,44,U,F,W,U
Public Initiated,2020-0289-P,2020/6/3,2020/6/18,2020/10/16,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,SOD,VOWS/Extradition,VOWS/Extradition,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,49092,White,M,44,U,F,W,U
Public Initiated,2020-0287-P,2020/6/6,2020/2/18,2020/10/15,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,SOD,Admin,Admin,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,49118,White,M,44,U,U,U,U
Public Initiated,2020-0286-P,2020/6/3,2020/6/18,2020/10/15,NFIM,Completed,Exonerated,FOB - Field Operations Bureau,1st District,Staff,VOWS/Extradition,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,49120,White,M,44,U,U,U,U
Public Initiated,2020-0285-P,2020/6/3,2020/6/18,2020/10/16,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,SOD,VOWS/Extradition,VOWS/Extradition,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,49145,White,M,44,U,M,U,U
Public Initiated,2020-0282-P,2020/6/3,2020/6/18,2020/10/15,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,SOD,Admin,Admin,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,49156,White,M,44,U,U,U,U
Public Initiated,2020-0281-P,2020/6/3,2020/6/8,2020/10/15,U,Completed,Exonerated,FOB - Field Operations Bureau,SOD,Admin,Admin,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,49159,White,M,44,U,U,U,U
Public Initiated,2021-0155-P,2021/3/3,2021/3/18,2022/12/13,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Education,Staff,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 13 - Social Networking...etc.,49162,Black,F,44,U,U,U,U
Rank Initiated,2021-0131-R,2021/3/1,2021/3/1,2021/12/9,DI-1,Completed,Other,PIB - Public Integrity Bureau,PIB,Force Investigation Team,Admin Unit,AWP - Off Duty,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,49180,Black,M,44,U,U,U,U
Rank Initiated,2021-0127-R,2021/3/5,2021/3/5,2022/12/20,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,C Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,49182,Hispanic,M,44,U,U,U,U
Rank Initiated,2021-0116-R,2020/12/8,2021/2/22,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,DWI Unit,,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49189,White,M,44,U,U,U,U
Public Initiated,2021-0088-P,2021/2/7,2021/2/22,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,A Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49197,Asian/Pacific Islander,M,44,U,F,B,U
Rank Initiated,2020-0587-R,2020/4/30,2020/12/7,2021/4/4,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49203,Black,F,44,U,U,U,U
Public Initiated,2020-0597-P,2020/11/16,2020/12/1,2021/2/27,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,Police Recruits,A Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49211,White,M,44,U,U,U,U
Public Initiated,2020-0273-P,2020/6/13,2020/6/17,2020/10/26,DI-1,Completed,Unfounded,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad A,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,49213,Black,M,44,U,U,U,U
Public Initiated,2020-0094-P,2020/2/18,2020/2/21,2020/7/2,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,2nd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 5: REST ACTIVITIES,PARAGRAPH 07 - ACTING IMPARTIALLY,49215,Black,F,44,U,F,B,U
Rank Initiated,2020-0424-R,2020/8/24,2020/8/26,2021/10/28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,4th District,2nd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,49217,Black,F,44,U,U,U,U
Public Initiated,2020-0006-P,2019/12/6,2020/1/2,2020/8/31,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Staff,Squad E,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49221,Black,M,44,U,U,U,U
Public Initiated,2020-0006-P,2019/12/6,2020/1/2,2020/8/31,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Staff,Squad E,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49247,White,F,44,U,U,U,U
Rank Initiated,2020-0437-R,2020/8/30,2020/8/31,U,DI-1,Active,Pending,FOB - Field Operations Bureau,4th District,2nd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,49249,Black,F,44,U,U,U,U
Public Initiated,2020-0162-P,2020/3/18,2020/3/10,2020/6/22,DI-1,Completed,Unfounded,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad A,,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,49251,Black,M,44,U,F,B,U
Public Initiated,2020-0330-P,2020/6/3,2020/7/6,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - AUTHORIZED FORCE,49253,White,M,44,U,F,U,U
Public Initiated,2020-0260-P,2020/6/3,2020/6/8,2020/10/15,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,49255,White,M,44,U,U,U,U
Public Initiated,2020-0283-P,2020/6/3,2020/6/4,2020/10/15,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - AUTHORIZED FORCE,49263,White,M,44,U,U,U,U
Rank Initiated,2020-0393-R,2020/8/11,2020/8/11,2020/10/20,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,1st Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 09 - Use of Alchohol/Drugs Off-Duty,49294,Black,M,44,U,U,U,U
Rank Initiated,2020-0364-R,2020/6/10,2020/7/24,2020/11/16,DI-1,Active,Pending,FOB - Field Operations Bureau,Administrative Investigation Section,1st Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,49296,Black,M,44,U,U,U,U
Public Initiated,2020-0154-P,2020/3/20,2020/4/5,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,2nd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49297,Black,F,44,U,U,U,U
Rank Initiated,2020-0207-R,2020/4/21,2020/5/12,U,DI-1,Active,Pending,ISB - Investigations and Support Bureau,ISB Staff,ISB Staff,Property,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49298,Black,M,44,U,U,U,U
Public Initiated,2020-0313-P,2020/6/3,2020/6/26,2020/10/22,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - AUTHORIZED FORCE,49299,White,M,44,U,U,U,U
Rank Initiated,2020-0082-R,2020/2/16,2020/2/17,2020/11/5,DI-1,Completed,Negotiated Settlement,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Domestic Violence Unit,,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,49303,Black,F,44,U,U,U,U
Rank Initiated,2019-0668-R,2019/9/4,2019/11/14,2020/1/18,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Sex Crimes Platoon 3,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49304,White,M,44,U,U,U,U
Rank Initiated,2019-0651-R,2019/11/6,2019/11/7,2020/3/2,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,2nd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - AUTHORIZED FORCE,49311,Black,M,44,U,U,U,U
Rank Initiated,2019-0635-R,2019/10/19,2019/10/23,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,2nd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,49313,Black,M,44,U,U,U,U
Public Initiated,2019-0629-R,2019/10/21,2019/10/22,U,DI-1,Active,Pending,FOB - Field Operations Bureau,8th District,C Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49315,White,M,44,U,U,U,U
Rank Initiated,2019-0386-R,2019/5/29,2019/7/2,2021/11/29,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49317,Black,M,44,U,U,U,U
Rank Initiated,2019-0477-R,2019/8/15,2019/8/16,2020/3/20,DI-1,Completed,Sustained,FOB - Field Operations Bureau,Alternative Police Response,U,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,49319,White,M,44,U,U,U,U
Rank Initiated,2019-0333-R,2019/5/31,2019/6/4,2019/10/4,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Day Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49321,Black,M,44,U,U,U,U
Rank Initiated,2019-0325-R,2019/5/11,2019/5/29,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,C Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49324,White,F,44,U,U,U,U
Public Initiated,2019-0270-P,2019/2/24,2019/5/2,2020/9/29,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Task Force,Task Force A,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,49330,Black,M,44,U,U,U,U
Public Initiated,2019-0258-P,2019/4/28,2019/4/29,2019/7/23,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 10:25pm-7am,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,49344,White,M,44,U,M,U,U
Rank Initiated,2019-0223-R,2019/3/22,2019/4/11,2019/8/14,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section ,Crime Lab Admin,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,49358,Black,F,44,U,U,U,U
Public Initiated,2019-0189-P,2019/3/14,2019/3/27,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,C Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49362,White,F,44,U,U,U,U
Public Initiated,2019-0174-P,2018/10/3,2019/3/19,2019/6/1,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49365,White,M,44,U,M,W,U
Public Initiated,2019-0053-P,2019/1/27,2019/1/28,2019/2/20,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,4th District,2nd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49385,Black,M,44,U,U,U,U
Rank Initiated,2018-0644-R,2018/10/28,2018/11/12,2019/9/5,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Staff,U,Unknown Working Status,Unknown Shift Hours,U,U,49387,White,M,44,U,U,U,U
Rank Initiated,2018-0533-R,2018/9/20,2018/9/25,2018/11/15,DI-1,Completed,Other,FOB - Field Operations Bureau,5th District,Investigations,Squad 3,,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49396,White,M,44,U,U,U,U
Rank Initiated,2018-0524-R,2018/9/19,2018/9/19,2019/8/23,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Investigations,Squad 3,,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 08 - Use of Alchohol/Drugs On Duty,49400,White,M,44,U,U,U,U
Rank Initiated,2018-0504-R,2018/9/11,2018/9/12,2019/2/8,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,7th District,Day Watch,Adminstrative Staff,Regular Working,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,49403,Black,F,44,U,U,U,U
Rank Initiated,2018-0448-R,2018/8/14,2018/8/14,2018/12/5,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,1st Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 08 - Use of Alchohol/Drugs On Duty,49406,White,M,44,U,U,U,U
Rank Initiated,2018-0325-R,2018/3/6,2018/6/7,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Day Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49409,Black,F,44,U,U,U,U
Rank Initiated,2018-0291-R,2018/5/21,2018/5/21,2018/10/25,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Night Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49420,White,M,44,U,U,U,U
Rank Initiated,2018-0286-D,2018/3/6,2018/5/17,2018/5/21,DI-2,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49423,Black,F,44,U,U,U,U
Public Initiated,2018-0242-P,2018/4/22,2018/4/23,2019/3/28,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,7th District,Task Force A,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,49425,Black,M,44,U,U,U,U
Public Initiated,2018-0210-P,2018/4/2,2018/4/2,2019/4/4,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,Investigations,Staff,,Unknown Shift Hours,U,U,49427,Hispanic,F,44,U,U,U,U
Rank Initiated,2018-0186-R,2018/3/27,2018/3/27,2018/8/3,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Day Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49438,White,M,44,U,U,U,U
Rank Initiated,2018-0182-R,2018/3/22,2018/3/27,2020/2/5,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section,Crime Lab Admin,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,49440,White,M,44,U,U,U,U
Rank Initiated,2018-0164-D,2018/3/14,2018/3/16,2018/3/20,DI-2,Completed,Other,FOB - Field Operations Bureau,7th District,Staff,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49441,Black,F,44,U,U,U,U
Rank Initiated,2018-0141-R,2018/2/27,2018/3/2,2019/9/5,DI-1,Completed,Sustained,FOB - Field Operations Bureau,4th District,Task Force,A,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49450,Black,M,44,U,U,U,U
Rank Initiated,2018-0081-R,2018/1/29,2018/2/2,2019/1/30,DI-1,Completed,Sustained,PIB - Public Integrity Bureau,Force Investigation Team,Force Investigation Team,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 09 - Use of Alchohol/Drugs Off-Duty,49456,White,M,44,U,U,U,U
Rank Initiated,2018-0043-R,2017/1/17,2018/1/22,2020/2/28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,D.I.U.,Staff,,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,49459,Black,F,44,U,U,U,U
Rank Initiated,2017-0429-R,2017/8/6,2017/8/10,2018/10/23,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49460,Black,M,44,U,F,B,U
Public Initiated,2017-0426-P,2017/8/7,2017/8/9,2019/9/10,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49462,White,M,44,U,F,B,U
Rank Initiated,2017-0411-R,2017/7/6,2017/8/2,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,Narcotics,Staff,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,49468,White,F,44,U,U,U,U
Public Initiated,2017-0332-P,2017/1/20,2017/6/13,2017/10/20,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,1st District,1st District,Persons,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49474,Black,M,44,U,F,B,U
Public Initiated,2017-0387-P,2011/1/1,2017/7/20,2017/11/20,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Sex Crimes Platoon 3,,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49474,Black,M,44,U,F,B,U
Rank Initiated,2017-0266-D,2017/5/8,2017/5/10,2017/5/17,DI-2,Completed,Other,FOB - Field Operations Bureau,7th District,Evening Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,49481,Black,M,44,U,U,U,U
Rank Initiated,2017-0162-D,2017/3/13,2017/3/16,2017/3/21,DI-2,Completed,Other,FOB - Field Operations Bureau,4th District,U,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49488,Black,M,44,U,U,U,U
Rank Initiated,2017-0113-R,2017/2/20,2017/2/26,2018/4/10,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 7pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49490,White,M,44,U,U,U,U
Rank Initiated,2017-0027-D,2017/1/13,2017/1/18,2017/1/19,DI-2,Completed,Other,FOB - Field Operations Bureau,4th District,U,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49493,Black,M,44,U,U,U,U
Rank Initiated,2016-0829-D,2016/11/27,2016/12/21,2016/12/21,DI-2,Completed,Other,FOB - Field Operations Bureau,7th District,Night Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49494,Black,F,44,U,U,U,U
Rank Initiated,2016-0654-R,2016/7/11,2016/10/19,2017/12/29,DI-1,Completed,Sustained,MSB - Management Service Bureau,Education/Training & Recruitment Division,Recruitment Division,Staff,,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,49497,Black,M,44,U,U,U,U
